,1-Mar-07,1-Jun-07,1-Sep-07,1-Dec-07,1-Mar-08,1-Jun-08,1-Sep-08,1-Dec-08,1-Mar-09,1-Jun-09,1-Sep-09,1-Dec-09,1-Mar-10
17-Aug-06,-0.021053409,-0.021053409,-0.021053409,-0.021053409,-0.015584731,-0.015584731,-0.015584731,-0.015584731,-0.025446666,-0.025446666,-0.025446666,-0.025446666,-0.015037877
16-Aug-06,-0.010362787,-0.010362787,-0.010362787,-0.010362787,-0.020408872,-0.020408872,-0.020408872,-0.020408872,-0.010000083,-0.010000083,-0.010000083,-0.010000083,-0.012361097
15-Aug-06,-0.020408872,-0.020408872,-0.020408872,-0.020408872,-0.015037877,-0.015037877,-0.015037877,-0.015037877,-0.004962789,-0.004962789,-0.004962789,-0.004962789,0
10-Aug-06,-0.010050336,-0.010050336,-0.010050336,-0.010050336,-0.009901071,-0.009901071,-0.009901071,-0.009901071,-0.009852296,-0.009852296,-0.009852296,-0.009852296,-0.009780029
9-Aug-06,-0.009950331,-0.009950331,-0.009950331,-0.009950331,-0.012240055,-0.012240055,-0.012240055,-0.012240055,-0.009756175,-0.009756175,-0.009756175,-0.009756175,-0.002430135
7-Aug-06,0.002484484,0.002484484,0.002484484,0.002484484,0.002442013,0.002442013,0.002442013,0.002442013,0.000810045,0.000810045,0.000810045,0.000810045,0
4-Aug-06,-0.014851758,-0.014851758,-0.014851758,-0.014851758,0,0,0,0,0,0,0,0,0
2-Aug-06,-0.002453989,-0.002453989,-0.002453989,-0.002453989,-0.004889985,-0.004889985,-0.004889985,-0.004889985,-0.002430135,-0.002430135,-0.002430135,-0.002430135,0
31-Jul-06,0.004938362,0.004938362,0.004938362,0.004938362,0.003268,0.003268,0.003268,0.003268,0.001622063,0.001622063,0.001622063,0.001622063,0.001622063
28-Jul-06,0.002490661,0.002490661,0.002490661,0.002490661,0,0,0,0,0,0,0,0,0
26-Jul-06,-0.007453451,-0.007453451,-0.007453451,-0.007453451,0,0,0,0,0,0,0,0,0
19-Jul-06,0,0,0,0,-0.004914015,-0.004914015,-0.004914015,-0.004914015,-0.00486619,-0.00486619,-0.00486619,-0.00486619,-0.00486619
14-Jul-06,0.009950331,0.009950331,0.009950331,0.009950331,0.004914015,0.004914015,0.004914015,0.004914015,0,0,0,0,0
12-Jul-06,-0.009950331,-0.009950331,-0.009950331,-0.009950331,-0.004914015,-0.004914015,-0.004914015,-0.004914015,0,0,0,0,0
6-Jul-06,0.004962789,0.004962789,0.004962789,0.004962789,0.004914015,0.004914015,0.004914015,0.004914015,0.012210164,0.012210164,0.012210164,0.012210164,0.009756175
5-Jul-06,0.01005059,0.01005059,0.01005059,0.01005059,0.002469141,0.002469141,0.002469141,0,0.001230013,0.001230013,0.001230013,-0.001226994,0
3-Jul-06,0,0,0,0,0,0,0,0.001646094,0,0,0,0.001638005,0
28-Jun-06,-0.020101179,-0.020101179,-0.020101179,-0.020101179,-0.009852296,-0.009852296,-0.009852296,-0.009852296,-0.004914015,-0.004914015,-0.004914015,-0.004914015,0
26-Jun-06,-0.001654263,-0.001654263,-0.001654263,-0.001654263,-0.001629995,-0.001629995,-0.001629995,-0.001629995,-0.001629995,-0.001629995,-0.001629995,-0.001629995,-0.001629995
23-Jun-06,-0.004938282,-0.004938282,-0.004938282,-0.004938282,-0.007290433,-0.007290433,-0.007290433,-0.007290433,0.004889985,0.004889985,0.004889985,0.004889985,0.004889985
22-Jun-06,0.004938282,0.004938282,0.004938282,0.004938282,0.015125929,0.015125929,0.015125929,0.015125929,0,0,0,0,0
20-Jun-06,0,0,0,0,0.001968505,0.001968505,0.001968505,0.001968505,0.004914015,0.004914015,0.004914015,0.004914015,0.004914015
15-Jun-06,0,0,0,0,0.004938282,0.004938282,0.004938282,0.004938282,0,0,0,0,0
13-Jun-06,-0.002472189,-0.002472189,-0.002472189,-0.002472189,-0.002472189,-0.002472189,-0.002472189,-0.002472189,-0.004914015,-0.004914015,-0.004914015,-0.004914015,-0.004914015
12-Jun-06,-0.000822031,-0.000822031,-0.000822031,-0.000822031,-0.001642039,-0.001642039,-0.001642039,-0.001642039,-0.000815994,-0.000815994,-0.000815994,-0.000815994,-0.000815994
8-Jun-06,-0.009804,-0.009804,-0.009804,-0.009804,-0.009780029,-0.009780029,-0.009780029,-0.009780029,-0.009732437,-0.009732437,-0.009732437,-0.009732437,-0.019371066
7-Jun-06,-0.00486619,-0.00486619,-0.00486619,-0.00486619,-0.004854378,-0.004854378,-0.004854378,-0.004854378,-0.004830927,-0.004830927,-0.004830927,-0.004830927,0
2-Jun-06,-0.002424244,-0.002424244,-0.002424244,-0.002424244,-0.002418381,-0.002418381,-0.002418381,-0.002418381,-0.00240674,-0.00240674,-0.00240674,-0.00240674,-0.002395211
1-Jun-06,0.004854378,0.004854378,0.004854378,0.004854378,0.004842624,0.004842624,0.004842624,0.004842624,0.004819286,0.004819286,0.004819286,0.004819286,0.004796172
31-May-06,0.002436055,0.002436055,0.002436055,0.002436055,0.002430135,0.002430135,0.002430135,0.002430135,0.002418381,0.002418381,0.002418381,0.002418381,0.00240674
30-May-06,0.001222496,0.001222496,0.001222496,0.001222496,0.001097295,0.001097295,0.001097295,0.001097295,0.004273608,0.004273608,0.004273608,0.004273608,0.008454616
26-May-06,0.004914015,0.004914015,0.004914015,0.004914015,0.007850874,0.007850874,0.007850874,0.007850874,0,0,0,0,0
25-May-06,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0.004938282,0
24-May-06,0.007952328,0.007952328,0.007952328,0.007952328,0.001486252,0.001486252,0.001486252,0.001486252,0,0,0,0,0
19-May-06,-0.009436375,-0.009436375,-0.009436375,-0.009436375,-0.021094724,-0.021094724,-0.021094724,-0.021094724,0.030153038,0.030153038,0.030153038,0.030153038,0.023198216
18-May-06,-0.004930976,-0.004930976,-0.004930976,-0.004930976,-0.004842624,-0.004842624,-0.004842624,-0.004842624,0,0,0,0,0
16-May-06,-0.003437273,-0.003437273,-0.003437273,-0.003437273,-0.002412546,-0.002412546,-0.002412546,-0.002412546,0,0,0,0,0
15-May-06,0.000817996,0.000817996,0.000817996,0.000817996,0.000804182,0.000804182,0.000804182,0.000804182,0,0,0,0,0
